AFS.py,AFS.R,wv,AFS_rpy.py
0.593301381,0.591442248,4992.05022,0.591442248
0.52606737,0.524390527,4992.061222,0.524390527
0.485530397,0.48395658,4992.072223,0.48395658
0.416560312,0.415187608,4992.083223,0.415187608
0.369343647,0.368106644,4992.094223,0.368106644
0.348711379,0.347524707,4992.105223,0.347524707
0.339346922,0.338173865,4992.116221,0.338173865
0.356827885,0.355575221,4992.127219,0.355575221
0.415770822,0.414288901,4992.138217,0.414288901
0.465057291,0.463374736,4992.149214,0.463374736
0.544942618,0.542941811,4992.16021,0.542941811
0.611853832,0.609574559,4992.171205,0.609574559
0.672251951,0.669711675,4992.1822,0.669711675
0.73460669,0.731791467,4992.193195,0.731791467
0.787822881,0.784761579,4992.204189,0.784761579
0.829173527,0.825907227,4992.215182,0.825907227
0.854569832,0.851157849,4992.226174,0.851157849
0.884996358,0.881415659,4992.237166,0.881415659
0.905289657,0.901578567,4992.248158,0.901578567
0.919564045,0.915745432,4992.259149,0.915745432
0.919780817,0.915912324,4992.270139,0.915912324
0.936430587,0.932442238,4992.281128,0.932442238
0.943905724,0.939835347,4992.292117,0.939835347
0.9469935,0.94285949,4992.303106,0.94285949
0.949595483,0.945399702,4992.314093,0.945399702
0.959792269,0.955500517,4992.32508,0.955500517
0.975794774,0.971379737,4992.336067,0.971379737
0.960669002,0.956271519,4992.347053,0.956271519
0.971914923,0.967414523,4992.358038,0.967414523
0.975243194,0.970675806,4992.369023,0.970675806
0.972343745,0.967738557,4992.380007,0.967738557
0.970114475,0.965468627,4992.39099,0.965468627
0.983528972,0.978766994,4992.401973,0.978766994
0.950179121,0.945528528,4992.412955,0.945528528
0.96676021,0.96197754,4992.423937,0.96197754
0.976316579,0.971435253,4992.434918,0.971435253
0.989629264,0.984629338,4992.445899,0.984629338
0.974579936,0.969639141,4992.456878,0.969639141
0.954945661,0.950094207,4992.467858,0.950094207
0.961631,0.956735249,4992.478836,0.956735249
0.9717863,0.96682834,4992.489814,0.96682834
0.966602429,0.961660401,4992.500792,0.961660401
0.955653792,0.950757285,4992.511768,0.950757285
0.941343245,0.936509699,4992.522745,0.936509699
0.943288361,0.938434383,4992.53372,0.938434383
0.953350644,0.948434272,4992.544695,0.948434272
0.961895157,0.95692395,4992.55567,0.95692395
0.936237088,0.931387945,4992.566643,0.931387945
0.941944003,0.937054637,4992.577617,0.937054637
0.942458795,0.93755603,4992.588589,0.93755603
0.948254985,0.943311218,4992.599561,0.943311218
0.927253558,0.922408617,4992.610532,0.922408617
0.921159139,0.916335392,4992.621503,0.916335392
0.912465386,0.907676562,4992.632473,0.907676562
0.872687612,0.86809736,4992.643443,0.86809736
0.846370557,0.841908798,4992.654412,0.841908798
0.840304341,0.835864653,4992.66538,0.835864653
0.817961459,0.813630126,4992.676348,0.813630126
0.783364886,0.779207427,4992.687315,0.779207427
0.785889148,0.781708894,4992.698281,0.781708894
0.778221091,0.774072276,4992.709247,0.774072276
0.788454329,0.784241444,4992.720212,0.784241444
0.801828696,0.79753463,4992.731177,0.79753463
0.820038289,0.815636721,4992.742141,0.815636721
0.861417198,0.856782996,4992.753105,0.856782996
0.885151405,0.880378653,4992.764067,0.880378653
0.91972471,0.914754198,4992.77503,0.914754198
0.915182497,0.910225203,4992.785991,0.910225203
0.936584296,0.931499433,4992.796952,0.931499433
0.949443874,0.944277344,4992.807913,0.944277344
0.950864236,0.945678064,4992.818873,0.945678064
0.958967423,0.953724995,4992.829832,0.953724995
0.967160892,0.961861462,4992.84079,0.961861462
0.960902787,0.95562547,4992.851748,0.95562547
0.967233379,0.96190899,4992.862706,0.96190899
0.970397258,0.965043064,4992.873663,0.965043064
0.968661852,0.963304823,4992.884619,0.963304823
0.965554926,0.960202665,4992.895574,0.960202665
0.968255315,0.962875592,4992.906529,0.962875592
0.993096733,0.98756613,4992.917484,0.98756613
0.97909575,0.973637446,4992.928437,0.973637446
0.964345827,0.958964103,4992.939391,0.958964103
0.985997484,0.980489095,4992.950343,0.980489095
0.990605014,0.985064963,4992.961295,0.985064963
0.965169909,0.9597782,4992.972246,0.9597782
0.972747542,0.967319557,4992.983197,0.967319557
0.976755575,0.971311216,4992.994147,0.971311216
0.981894039,0.976426974,4993.005097,0.976426974
0.975115042,0.969691529,4993.016046,0.969691529
0.973662608,0.968252886,4993.026994,0.968252886
0.963380145,0.958033123,4993.037942,0.958033123
0.968461055,0.963091346,4993.048889,0.963091346
0.963385669,0.958049503,4993.059835,0.958049503
0.94473544,0.939507794,4993.070781,0.939507794
0.95591502,0.950630711,4993.081727,0.950630711
0.928871259,0.923741419,4993.092671,0.923741419
0.910113798,0.905092345,4993.103615,0.905092345
0.907283566,0.902282434,4993.114559,0.902282434
0.88723866,0.882352549,4993.125502,0.882352549
0.898783815,0.893838636,4993.136444,0.893838636
0.883745975,0.878887902,4993.147386,0.878887902
0.897753024,0.892822316,4993.158327,0.892822316
0.895333006,0.890419869,4993.169267,0.890419869
0.915551877,0.910532092,4993.180207,0.910532092
0.914962377,0.909950053,4993.191146,0.909950053
0.927323245,0.922247419,4993.202085,0.922247419
0.933684905,0.928578427,4993.213023,0.928578427
0.917502641,0.912488692,4993.22396,0.912488692
0.91728315,0.912274356,4993.234897,0.912274356
0.911857362,0.906882057,4993.245833,0.906882057
0.908150129,0.90319883,4993.256769,0.90319883
0.911223836,0.906259501,4993.267704,0.906259501
0.914006196,0.909030367,4993.278638,0.909030367
0.907668325,0.902730573,4993.289572,0.902730573
0.913278586,0.908313842,4993.300505,0.908313842
0.917582842,0.912598178,4993.311438,0.912598178
0.920828473,0.915829601,4993.32237,0.915829601
0.928347765,0.923311458,4993.333301,0.923311458
0.933555373,0.928494153,4993.344232,0.928494153
0.928521629,0.923490953,4993.355162,0.923490953
0.943515705,0.938407033,4993.366092,0.938407033
0.958670919,0.953483415,4993.377021,0.953483415
0.964188027,0.958973846,4993.387949,0.958973846
0.956907358,0.951735638,4993.398877,0.951735638
0.969785802,0.964547543,4993.409804,0.964547543
0.990317104,0.984971007,4993.420731,0.984971007
0.984723055,0.979400957,4993.431657,0.979400957
0.987889633,0.982544157,4993.442582,0.982544157
0.988167821,0.98281453,4993.453507,0.98281453
0.983171311,0.977838769,4993.464431,0.977838769
0.987919485,0.982554797,4993.475354,0.982554797
0.984782348,0.979428282,4993.486277,0.979428282
0.990093364,0.984703931,4993.4972,0.984703931
0.989324635,0.983932859,4993.508121,0.983932859
0.968838958,0.963552396,4993.519042,0.963552396
0.958053154,0.952819046,4993.529963,0.952819046
0.960461243,0.955207524,4993.540883,0.955207524
0.963282179,0.958006516,4993.551802,0.958006516
0.940382865,0.93522622,4993.562721,0.93522622
0.911194983,0.906192158,4993.573639,0.906192158
0.911897261,0.906884306,4993.584556,0.906884306
0.883586385,0.87872295,4993.595473,0.87872295
0.882030434,0.877169426,4993.60639,0.877169426
0.859542085,0.854799001,4993.617305,0.854799001
0.861225052,0.856466624,4993.62822,0.856466624
0.847568373,0.842879407,4993.639135,0.842879407
0.883451278,0.878557519,4993.650049,0.878557519
0.890501198,0.885562025,4993.660962,0.885562025
0.904052322,0.899031496,4993.671875,0.899031496
0.909923379,0.90486338,4993.682787,0.90486338
0.932104328,0.926914222,4993.693698,0.926914222
0.951759428,0.946452944,4993.704609,0.946452944
0.962258407,0.95688634,4993.715519,0.95688634
0.975686421,0.970232209,4993.726429,0.970232209
0.963820042,0.958425041,4993.737338,0.958425041
0.966012813,0.960598365,4993.748246,0.960598365
0.961438431,0.95604245,4993.759154,0.95604245
0.96481636,0.959394191,4993.770061,0.959394191
0.975904686,0.970412857,4993.780968,0.970412857
0.968228837,0.962772885,4993.791874,0.962772885
0.959319623,0.953906592,4993.80278,0.953906592
0.953289117,0.947902846,4993.813684,0.947902846
0.965158623,0.959697899,4993.824589,0.959697899
0.954159241,0.948753416,4993.835492,0.948753416
0.962430888,0.956970772,4993.846395,0.956970772
0.953110698,0.947696072,4993.857298,0.947696072
0.96246408,0.95698883,4993.868199,0.95698883
0.975512758,0.969955659,4993.879101,0.969955659
0.976110551,0.970542394,4993.890001,0.970542394
0.982062779,0.976452941,4993.900901,0.976452941
0.9828464,0.977224321,4993.911801,0.977224321
0.982689743,0.977060769,4993.9227,0.977060769
0.991207325,0.985521675,4993.933598,0.985521675
0.989314704,0.983632011,4993.944495,0.983632011
0.975156776,0.969547592,4993.955392,0.969547592
0.991295996,0.985586006,4993.966289,0.985586006
0.980519454,0.974881044,4993.977184,0.974881044
0.991244141,0.985553604,4993.98808,0.985553604
0.985705294,0.980056604,4993.998974,0.980056604
0.997987263,0.992278298,4994.009868,0.992278298
0.995524562,0.989838632,4994.020762,0.989838632
0.984788797,0.979161053,4994.031654,0.979161053
0.9716311,0.966075421,4994.042547,0.966075421
0.985216873,0.979580305,4994.053438,0.979580305
0.974177555,0.968600937,4994.064329,0.968600937
0.964103914,0.958581752,4994.075219,0.958581752
0.937282241,0.931910552,4994.086109,0.931910552
0.932714258,0.927365574,4994.096998,0.927365574
0.912053543,0.906820202,4994.107887,0.906820202
0.867914234,0.862931146,4994.118775,0.862931146
0.825613195,0.820870077,4994.129662,0.820870077
0.775310442,0.770853561,4994.140549,0.770853561
0.723915288,0.719751259,4994.151435,0.719751259
0.680193104,0.676278108,4994.162321,0.676278108
0.624714719,0.621116757,4994.173206,0.621116757
0.612583704,0.60905335,4994.18409,0.60905335
0.615128478,0.611581168,4994.194974,0.611581168
0.616414293,0.61285725,4994.205857,0.61285725
0.652530058,0.648762133,4994.216739,0.648762133
0.692884637,0.68888104,4994.227621,0.68888104
0.755799322,0.751429275,4994.238503,0.751429275
0.805288989,0.800629655,4994.249383,0.800629655
0.846661369,0.841759331,4994.260264,0.841759331
0.882651425,0.877537512,4994.271143,0.877537512
0.900889554,0.895666372,4994.282022,0.895666372
0.935215386,0.929789421,4994.2929,0.929789421
0.955705398,0.950156671,4994.303778,0.950156671
0.972784444,0.967132573,4994.314655,0.967132573
0.967766577,0.962139864,4994.325532,0.962139864
0.979314,0.973616073,4994.336408,0.973616073
0.982623979,0.976902671,4994.347283,0.976902671
0.97604456,0.970357435,4994.358158,0.970357435
0.971579359,0.965914112,4994.369032,0.965914112
0.989346577,0.983573485,4994.379905,0.983573485
0.988278302,0.982519535,4994.390778,0.982519535
0.958969574,0.953389761,4994.401651,0.953389761
0.969614033,0.963980486,4994.412522,0.963980486
0.942207793,0.936741393,4994.423393,0.936741393
0.918095,0.912776152,4994.434264,0.912776152
0.889602855,0.884456438,4994.445134,0.884456438
0.843852444,0.838977633,4994.456003,0.838977633
0.788144885,0.783598321,4994.466872,0.783598321
0.734719362,0.730486946,4994.47774,0.730486946
0.675407122,0.671521811,4994.488607,0.671521811
0.620747875,0.617181951,4994.499474,0.617181951
0.568969374,0.565705404,4994.510341,0.565705404
0.541785493,0.538681729,4994.521206,0.538681729
0.536533913,0.533464423,4994.532071,0.533464423
0.535933573,0.532871671,4994.542936,0.532871671
0.550007454,0.546869375,4994.5538,0.546869375
0.578187841,0.574893392,4994.564663,0.574893392
0.598684447,0.595277745,4994.575526,0.595277745
0.63514433,0.631534933,4994.586388,0.631534933
0.66919269,0.665394794,4994.597249,0.665394794
0.713297722,0.709254794,4994.60811,0.709254794
0.762984339,0.758665393,4994.618971,0.758665393
0.799002283,0.794485274,4994.62983,0.794485274
0.850699972,0.845896847,4994.640689,0.845896847
0.869686731,0.864782639,4994.651548,0.864782639
0.90637593,0.901271396,4994.662406,0.901271396
0.923658367,0.918463016,4994.673263,0.918463016
0.940993085,0.935706813,4994.68412,0.935706813
0.95354799,0.948197803,4994.694976,0.948197803
0.971674183,0.966228978,4994.705831,0.966228978
0.982439111,0.976940282,4994.716686,0.976940282
0.977845976,0.97237947,4994.727541,0.97237947
0.962482707,0.957108542,4994.738394,0.957108542
0.960021833,0.954667792,4994.749247,0.954667792
0.970975848,0.965567117,4994.7601,0.965567117
0.972128427,0.966719627,4994.770952,0.966719627
0.967712101,0.96233414,4994.781803,0.96233414
0.961725508,0.956386989,4994.792654,0.956386989
0.953545119,0.948258075,4994.803504,0.948258075
0.951420158,0.946150892,4994.814353,0.946150892
0.933780856,0.928615113,4994.825202,0.928615113
0.929933878,0.92479517,4994.836051,0.92479517
0.913906481,0.908861939,4994.846898,0.908861939
0.890350817,0.885441701,4994.857745,0.885441701
0.846817466,0.842153472,4994.868592,0.842153472
0.798882499,0.794487272,4994.879438,0.794487272
0.741144934,0.737071732,4994.890283,0.737071732
0.651359624,0.647783669,4994.901128,0.647783669
0.554979124,0.551935504,4994.911972,0.551935504
0.4765657,0.473954841,4994.922815,0.473954841
0.383900229,0.38179921,4994.933658,0.38179921
0.314349247,0.31263063,4994.944501,0.31263063
0.262414434,0.260981211,4994.955342,0.260981211
0.231162047,0.229900782,4994.966183,0.229900782
0.230327197,0.229071737,4994.977024,0.229071737
0.241265128,0.239951343,4994.987864,0.239951343
0.280760662,0.279233298,4994.998703,0.279233298
0.339006627,0.337164179,4995.009542,0.337164179
0.421444286,0.419155988,4995.02038,0.419155988
0.511028211,0.508256123,4995.031217,0.508256123
0.605620037,0.602337902,4995.042054,0.602337902
0.680734825,0.677049017,4995.052891,0.677049017
0.766375749,0.762230034,4995.063726,0.762230034
0.810885542,0.806503013,4995.074561,0.806503013
0.860543555,0.855896796,4995.085396,0.855896796
0.896828857,0.891990437,4995.09623,0.891990437
0.916242374,0.911303527,4995.107063,0.911303527
0.934555363,0.92952214,4995.117896,0.92952214
0.945197054,0.940110848,4995.128728,0.940110848
0.958311653,0.953159205,4995.139559,0.953159205
0.964339721,0.959159158,4995.15039,0.959159158
0.954633517,0.949509292,4995.161221,0.949509292
0.965224183,0.96004729,4995.17205,0.96004729
0.979848192,0.974597045,4995.182879,0.974597045
0.972740862,0.967531894,4995.193708,0.967531894
0.969081169,0.963895811,4995.204536,0.963895811
0.981326497,0.976079617,4995.215363,0.976079617
0.968329916,0.963156411,4995.22619,0.963156411
0.980480613,0.975246061,4995.237016,0.975246061
0.98353145,0.978284429,4995.247842,0.978284429
0.986810667,0.98154992,4995.258666,0.98154992
0.985793117,0.980509607,4995.269491,0.980509607
0.979367944,0.974090866,4995.280315,0.974090866
1.001882986,0.996455943,4995.291138,0.996455943
0.983817112,0.978563777,4995.30196,0.978563777
0.990365368,0.985153212,4995.312782,0.985153212
0.981581422,0.976490752,4995.323603,0.976490752
0.976403675,0.971414513,4995.334424,0.971414513
0.970545516,0.965660285,4995.345244,0.965660285
0.978227067,0.973377548,4995.356064,0.973377548
0.972002884,0.967257915,4995.366883,0.967257915
0.969349261,0.964690528,4995.377701,0.964690528
0.967335426,0.962759298,4995.388519,0.962759298
0.960148775,0.955678821,4995.399336,0.955678821
0.969911344,0.965468648,4995.410153,0.965468648
0.964878381,0.960530859,4995.420969,0.960530859
0.964299655,0.960026608,4995.431784,0.960026608
0.977867146,0.97360665,4995.442599,0.97360665
0.964524134,0.960393244,4995.453413,0.960393244
0.980941856,0.976813128,4995.464226,0.976813128
0.968914038,0.964907316,4995.475039,0.964907316
0.986827805,0.982819498,4995.485852,0.982819498
0.974668244,0.970780709,4995.496663,0.970780709
0.98578817,0.981928276,4995.507475,0.981928276
0.972560211,0.96882292,4995.518285,0.96882292
0.972180739,0.968515482,4995.529095,0.968515482
0.976985464,0.973372803,4995.539904,0.973372803
0.971582504,0.968059936,4995.550713,0.968059936
0.984892084,0.981392119,4995.561521,0.981392119
0.986463583,0.983028795,4995.572329,0.983028795
0.988552289,0.985180922,4995.583136,0.985180922
0.996773755,0.993445412,4995.593942,0.993445412
0.988767459,0.985497487,4995.604748,0.985497487
0.974734435,0.971551495,4995.615553,0.971551495
0.988604865,0.985417677,4995.626358,0.985417677
0.982683492,0.979556032,4995.637162,0.979556032
0.981278673,0.978196102,4995.647965,0.978196102
0.988372387,0.985308084,4995.658768,0.985308084
0.981096203,0.978094551,4995.66957,0.978094551
0.97876346,0.975808783,4995.680372,0.975808783
0.983619406,0.98068994,4995.691173,0.98068994
0.985249921,0.982355373,4995.701973,0.982355373
0.969348811,0.96653995,4995.712773,0.96653995
0.965898126,0.963137936,4995.723572,0.963137936
0.965312257,0.96259223,4995.734371,0.96259223
0.976618635,0.973905523,4995.745169,0.973905523
0.967532093,0.964882471,4995.755966,0.964882471
0.95920861,0.956619542,4995.766763,0.956619542
0.960500667,0.957945756,4995.777559,0.957945756
0.955536621,0.953032203,4995.788355,0.953032203
